dataset_id,model_id,from_budget_per_class,to_budget_per_class,delta_BACC
BNCI2014_001,CLS-CSP-LDA,2,4,0.07638888888888895
BNCI2014_001,CLS-CSP-LDA,4,8,-0.11805555555555564
BNCI2014_001,CLS-CSP-LDA,8,16,0.041666666666666685
BNCI2014_001,CLS-CSP-LDA,16,32,-0.03125
BNCI2014_001,CLS-CSP-LDA,32,64,0.02083333333333337
BNCI2014_001,CLS-CSP-LDA,64,128,0.04861111111111105
BNCI2014_001,CLS-CSP-LDA,128,256,0.0625
BNCI2014_001,DNN-EEGNET,1,2,0.000694444444444442
BNCI2014_001,DNN-EEGNET,2,4,0.01041666666666663
BNCI2014_001,DNN-EEGNET,4,8,0.006250000000000089
BNCI2014_001,DNN-EEGNET,8,16,0.027083333333333237
BNCI2014_001,DNN-EEGNET,16,32,-0.061111111111111116
BNCI2014_001,DNN-EEGNET,32,64,0.023611111111111138
BNCI2014_001,DNN-EEGNET,64,128,0.0625
BNCI2014_001,DNN-EEGNET,128,256,-0.02013888888888893
BNCI2014_001,RIE-TS-LR,1,2,0.02083333333333326
BNCI2014_001,RIE-TS-LR,2,4,0.02777777777777779
BNCI2014_001,RIE-TS-LR,4,8,-0.10416666666666669
BNCI2014_001,RIE-TS-LR,8,16,0.034722222222222154
BNCI2014_001,RIE-TS-LR,16,32,1.1102230246251565e-16
BNCI2014_001,RIE-TS-LR,32,64,-0.01388888888888895
BNCI2014_001,RIE-TS-LR,64,128,0.07291666666666674
BNCI2014_001,RIE-TS-LR,128,256,-0.03819444444444453
BNCI2014_001,SSL-CBRAMOD,1,2,0.009027777777777746
BNCI2014_001,SSL-CBRAMOD,2,4,0.001388888888888995
BNCI2014_001,SSL-CBRAMOD,4,8,0.012499999999999845
BNCI2014_001,SSL-CBRAMOD,8,16,0.006944444444444531
BNCI2014_001,SSL-CBRAMOD,16,32,-0.011111111111111072
BNCI2014_001,SSL-CBRAMOD,32,64,-0.004861111111111205
BNCI2014_001,SSL-CBRAMOD,64,128,0.019444444444444486
BNCI2014_001,SSL-CBRAMOD,128,256,-0.011805555555555514
Lee2019_MI,CLS-CSP-LDA,2,4,-0.0033333333333332993
Lee2019_MI,CLS-CSP-LDA,4,8,-0.03500000000000009
Lee2019_MI,CLS-CSP-LDA,8,16,0.10500000000000004
Lee2019_MI,CLS-CSP-LDA,16,32,-0.04833333333333334
Lee2019_MI,CLS-CSP-LDA,32,64,-0.03500000000000003
Lee2019_MI,CLS-CSP-LDA,64,128,0.1216666666666667
Lee2019_MI,CLS-CSP-LDA,128,256,0.020000000000000018
Lee2019_MI,DNN-EEGNET,1,2,-0.029000000000000026
Lee2019_MI,DNN-EEGNET,2,4,0.026000000000000023
Lee2019_MI,DNN-EEGNET,4,8,-0.0016666666666667052
Lee2019_MI,DNN-EEGNET,8,16,-0.024666666666666615
Lee2019_MI,DNN-EEGNET,16,32,0.024666666666666615
Lee2019_MI,DNN-EEGNET,32,64,0.043333333333333446
Lee2019_MI,DNN-EEGNET,64,128,0.009333333333333194
Lee2019_MI,DNN-EEGNET,128,256,0.08766666666666678
Lee2019_MI,RIE-TS-LR,1,2,-0.008333333333333415
Lee2019_MI,RIE-TS-LR,2,4,0.0050000000000000044
Lee2019_MI,RIE-TS-LR,4,8,0.036666666666666625
Lee2019_MI,RIE-TS-LR,8,16,0.03500000000000014
Lee2019_MI,RIE-TS-LR,16,32,-0.04166666666666674
Lee2019_MI,RIE-TS-LR,32,64,0.13666666666666671
Lee2019_MI,RIE-TS-LR,64,128,0.03499999999999992
Lee2019_MI,RIE-TS-LR,128,256,0.020000000000000018
Lee2019_MI,SSL-CBRAMOD,1,2,-0.01866666666666661
Lee2019_MI,SSL-CBRAMOD,2,4,0.011666666666666714
Lee2019_MI,SSL-CBRAMOD,4,8,0.014999999999999902
Lee2019_MI,SSL-CBRAMOD,8,16,-0.022666666666666613
Lee2019_MI,SSL-CBRAMOD,16,32,0.004666666666666708
Lee2019_MI,SSL-CBRAMOD,32,64,-0.008000000000000007
Lee2019_MI,SSL-CBRAMOD,64,128,0.04999999999999993
Lee2019_MI,SSL-CBRAMOD,128,256,0.024666666666666726
PhysioNetMI,CLS-CSP-LDA,2,4,-0.043927416457060775
PhysioNetMI,CLS-CSP-LDA,4,8,0.014103485447359065
PhysioNetMI,CLS-CSP-LDA,8,16,0.011857707509881354
PhysioNetMI,CLS-CSP-LDA,16,32,-0.023984908372260083
PhysioNetMI,CLS-CSP-LDA,32,64,0.011857707509881354
PhysioNetMI,CLS-CSP-LDA,64,128,0.005389867049946151
PhysioNetMI,CLS-CSP-LDA,128,256,0.03440531800215596
PhysioNetMI,DNN-EEGNET,1,2,0.005246137261947559
